timestamp	tags	url	archived url
2025-10-15T16:02:08	mature hypocrisy	https://tmblr.co/ZRhtoOiHE-Veyy00	
2025-10-22T13:11:37	just as a general context thing i guess,mature hypocrisy	https://tmblr.co/ZRhtoOiJSlw3im00	
2025-10-31T23:19:39	mature hypocrisy,idk even what to say for this one. staff are being clowns	https://tmblr.co/ZRhtoOiMVil5Sa00	
2025-11-01T13:49:55		https://tmblr.co/ZRhtoOiMi9VAiW00	
2025-11-16T11:34:49	bans,racism	https://tmblr.co/ZRhtoOiRVDCFSW00	
2025-11-19T20:35:11	bans,another harassment campaign. for shame	https://tmblr.co/ZRhtoOiSak-Yey00	
2025-11-24T14:59:32	bans	https://tmblr.co/ZRhtoOiU6xVXae00	
2025-11-24T15:00:08	bans	https://tmblr.co/ZRhtoOiU6y2tWi00	
2025-11-24T22:50:47	mature hypocrisy	https://tmblr.co/ZRhtoOiUDgxSOq00	
2025-11-26T15:21:04	mature hypocrisy	https://tmblr.co/ZRhtoOiUmRxQGW00	
2025-11-26T16:58:38	bans,this one is terrifyingly overt	https://tmblr.co/ZRhtoOiUnrGPGq00	
2025-11-27T21:44:39	bans	https://tmblr.co/ZRhtoOiVAXU0yW00	
2025-11-29T10:39:17	bans	https://tmblr.co/ZRhtoOiVgD1QCi00	
2025-12-02T09:19:27	bans	https://tmblr.co/ZRhtoOiWct0rGa00	
2025-12-06T12:39:43	bans	https://tmblr.co/ZRhtoOiXy7pZuu00	
2025-12-07T12:11:14	vent	https://tmblr.co/ZRhtoOiYGK5YCy00timestamp	
